task_id,part,status,owner,evidence,notes
CI-001,01-foundation-build-containment.md,in_progress,Backend + Platform,docs/evidence/WP01-E-backend-ci-foundation.md,Local quality contract and 102-test coverage gates pass; hosted PR run and required branch checks remain
CI-002,01-foundation-build-containment.md,in_progress,Security + Platform,docs/evidence/WP01-G-security-scan-remediation.md,Secret dependency and SAST gates are clean and the reduced non-root image has 45 unaccepted no-fixed-version OS findings; hosted required-check and scheduled-run proof remain
API-001,01-foundation-build-containment.md,in_progress,Backend,docs/evidence/WP02-C-immediate-containment.md,Current snapshot exact check and mixed additive breaking-security classification are recorded; hosted PR classification reviews and required check remain
CFG-001,01-foundation-build-containment.md,done,Backend,docs/evidence/WP02-A-runtime-environment-contract.md,Typed development test and production contract is enforced across settings tests CI local startup and container surfaces
CFG-002,01-foundation-build-containment.md,done,Backend + Platform + Security,docs/evidence/WP02-B-production-configuration-validation.md,Redacted exit-78 production validation runs before directory database seed model network and server side effects
SEC-001,01-foundation-build-containment.md,done,Backend + Platform,docs/evidence/WP02-C-immediate-containment.md,No application image or Compose signing default remains and every runtime requires injected or generated signing material
SEC-002,01-foundation-build-containment.md,done,Backend,docs/evidence/WP02-B-production-configuration-validation.md,Demo seed defaults off is explicit in development and test and is rejected before production startup
EGR-001,01-foundation-build-containment.md,done,Backend,docs/evidence/WP02-C-immediate-containment.md,Provider defaults to none URLs have no vLLM destination default and the default Ask regression performs no provider call
EGR-002,01-foundation-build-containment.md,done,Backend + Security,docs/evidence/WP02-C-immediate-containment.md,Explicit provider opt in and exact host policy denies before prompt or HTTP construction with redacted passive diagnostics
HLT-001,01-foundation-build-containment.md,done,Backend,docs/evidence/WP02-C-immediate-containment.md,Cheap live dependency aware ready and bearer protected passive status endpoints are regression tested
HLT-002,01-foundation-build-containment.md,done,Backend,docs/evidence/WP02-C-immediate-containment.md,Web startup and image entrypoint perform no heavyweight model warming or snapshot download
NET-001,01-foundation-build-containment.md,done,Platform,docs/evidence/WP02-C-immediate-containment.md,Production Qdrant has no host port publication and development publication is isolated in the override
IMPORT-001,02-import-schema-integrity.md,done,Backend,docs/evidence/WP04-A-server-folder-import-containment.md,Application image Compose and endpoint default disabled; enabled-without-root production bootstrap rejects safely
IMPORT-002,02-import-schema-integrity.md,done,Backend,docs/evidence/WP04-A-server-folder-import-containment.md,Folder imports require global ADMIN or dedicated IMPORT_SERVER_FOLDER capability
IMPORT-003,02-import-schema-integrity.md,done,Backend,docs/evidence/WP04-A-server-folder-import-containment.md,Absolute approved-root containment rejects relative parent outside unavailable and overlapping locations
IMPORT-004,02-import-schema-integrity.md,done,Backend + Security,docs/evidence/WP04-A-server-folder-import-containment.md,Symlink nested-mount cross-device and inode replacement paths are rejected before content use
IMPORT-005,02-import-schema-integrity.md,done,Backend,docs/evidence/WP04-A-server-folder-import-containment.md,Streaming enumeration caps visited entries files aggregate bytes depth wall time response items and individual bytes
IMPORT-006,02-import-schema-integrity.md,done,Backend + Security,docs/evidence/WP04-A-server-folder-import-containment.md,Responses and audits use opaque source IDs stable codes and bounded counts without raw paths or exception text
MIG-001,02-import-schema-integrity.md,done,Backend,docs/evidence/WP05-B-alembic-current-schema-baseline.md,Alembic revisions reproduce the validated current SQLite schema on empty and copied current databases without touching the protected source
MIG-002,02-import-schema-integrity.md,done,Backend + Platform,docs/evidence/WP05-C-startup-schema-compatibility.md,Web entrypoint seed and provisioning accept only the sole packaged head and never create stamp migrate or repair incompatible databases
MIG-003,02-import-schema-integrity.md,done,Backend,docs/evidence/WP05-I-jobs-outbox-sessions-lifecycle.md,SQLite 0004 adds bounded jobs outbox sessions/revocations lifecycle/version fields with upgrade downgrade forward-fix and source-integrity proofs; worker/auth enforcement and PostgreSQL profile remain dependent work
MIG-004,02-import-schema-integrity.md,done,Backend,docs/evidence/WP05-L-post-preflight-integrity.md,Preflighted integrity triggers and operational indexes migrate at 20260727_0005
MIG-005,02-import-schema-integrity.md,done,Backend,docs/evidence/WP05-D-migration-owned-runtime-schema.md,Alembic exclusively owns relational and FTS schema and no runtime startup seed provisioning or test fixture performs create_all or ad hoc FTS repair
MIG-006,02-import-schema-integrity.md,done,Backend + Platform,docs/evidence/WP05-J-migration-runbooks.md,SQLite offline migration/recovery runbook and operator sign-off are documented; PostgreSQL online path is explicitly blocked until the approved dialect/profile, PITR, and parity gates exist
MIG-007,02-import-schema-integrity.md,done,Backend,docs/evidence/WP05-E-flexible-acl-schema.md,Flexible USER and GROUP resource ACL schema revision and isolated upgrade downgrade forward-migration and model-parity proofs pass without changing the source database
MIG-008,02-import-schema-integrity.md,done,Backend/Security,docs/evidence/WP05-M-scoped-assignment-migration.md,20260727_0006 converts scoped role assignments to permission ACL rules and records PRESERVED before/after rows
MIG-009,02-import-schema-integrity.md,blocked,D-08 gate,docs/evidence/WP05-N-materialized-access-projection-gate.md,Not implemented until the named D-08 capacity benchmark proves SQL ACL resolution requires a materialized projection
MODEL-001,02-import-schema-integrity.md,done,Backend,docs/evidence/WP05-L-post-preflight-integrity.md,SQLAlchemy models declare the migrated lifecycle, assignment, identity, and index metadata
API-002,02-import-schema-integrity.md,done,Backend + Security,docs/evidence/WP05-A-bounded-api-schemas.md,Mutable defaults were removed and bounded enum numeric string list and undeclared-input validation is enforced with breaking-contract review recorded
AUTHN-001,02-import-schema-integrity.md,in_progress,,WP02-A-authn-token-claims.md,
AUTHN-002,02-import-schema-integrity.md,in_progress,Backend + Security,docs/evidence/WP05-K-login-concurrent-admission.md,Bounded login body credentials dummy-hash verification redacted failures process-local HMAC account/source throttling and atomic bounded concurrent password-verification admission are implemented; durable shared lockout/distributed coordination and externally collected alert metrics remain open
AUTHN-004,02-import-schema-integrity.md,done,Backend/Security,docs/evidence/WP03-L-admin-identity-lifecycle.md,Admin user creation role assignment suspension credential reset and session revocation are audited
AUTHN-005,02-import-schema-integrity.md,done,Backend/Security,docs/evidence/WP03-L-identity-password-policy.md,D-06 selects hardened local authentication; bounded password policy is enforced and optional MFA fails closed when enabled
AUTHZ-001,03-authorization-identity.md,done,Backend,docs/evidence/WP03-B-authorization-domain-types.md,Immutable normalized USER and GROUP principals plus cabinet folder document resources and ancestry are represented consistently
AUTHZ-002,03-authorization-identity.md,done,Backend + Security,docs/evidence/WP03-C-pure-authorization-policy.md,Pure database-free evaluator covers specificity precedence deny inheritance expiry and malformed-rule fail-closed behavior
AUTHZ-003,03-authorization-identity.md,done,Backend,docs/evidence/WP03-E-bounded-authorization-repositories.md,Bounded cache-free repositories load capabilities active principals exact ancestry active rules and policy revision with five bounded SQL statements and fail-closed validation
AUTHZ-004,03-authorization-identity.md,done,Backend,docs/evidence/WP03-G-visible-document-ids.md,Exact bounded SQL visible-document-ID resolution applies capability principal scope precedence inheritance expiry and fail-closed hierarchy and overflow checks without per-document N plus 1 queries
AUTHZ-005,03-authorization-identity.md,done,Backend,docs/evidence/WP03-I-direct-object-authorization.md,Detail download delete and current folder import/upload targets enforce action capability plus exact resource ACL with safe not-found handling for unauthorized and guessed IDs
AUTHZ-006,03-authorization-identity.md,done,Backend,docs/evidence/WP03-J-search-rag-authorization.md,Search semantic Ask-RAG prefilter and authoritative final recheck apply exact per-user VIEW IDs; multimodal retrieval and PostgreSQL adapters remain open
AUTHZ-007,03-authorization-identity.md,done,Backend + Security,docs/evidence/WP03-K-authorization-aware-aggregates.md,Exact VIEW-ID filtering protects document lists dashboard aggregates and duplicate members; duplicate resolution requires VIEW plus DELETE on every member and uses bounded bulk reads
AUTHZ-008,03-authorization-identity.md,done,Backend + Security,docs/evidence/WP03-H-audit-visibility.md,Global auditors retain bounded filters while resource-scoped auditors receive only exact visible document audit rows with safe redacted projections; durable audit coupling remains AUDIT-001/002
AUTHZ-009,03-authorization-identity.md,done,Backend + Security,docs/evidence/WP03-D-manage-knowledge-permission.md,CREATE alone cannot mutate shared OKF knowledge and MANAGE_KNOWLEDGE is enforced at HTTP service and facade boundaries
AUTHN-003,03-authorization-identity.md,done,Backend + Platform,docs/evidence/WP03-A-initial-administrator-provisioning.md,One-time locked transactional provisioning uses an owner-only no-follow password file; production has no known or automatic credential
AUTHZ-010,03-authorization-identity.md,done,QA/Backend,docs/evidence/WP03-N-authorization-matrix.md,Reviewed user/group/role/action/scope/resource allow-deny matrix is stored with executable policy regression coverage
AUTHZ-011,03-authorization-identity.md,done,Backend,docs/evidence/WP03-F-group-membership-lifecycle.md,Bounded transactional USER to GROUP membership add remove and stable listing update the policy revision atomically and change effective principals on the next request
AUTHZ-012,03-authorization-identity.md,done,Backend + Security,docs/evidence/WP03-L-transactional-access-rule-service.md,Transactional rule grant/update/revoke validates delegation and bumps policy revision with audit events
AUTHZ-013,03-authorization-identity.md,done,Backend,docs/evidence/WP03-L-access-management-apis.md,Cabinet/folder/document/global access-rule list grant update and revoke APIs are protected by MANAGE_PERMISSIONS
AUTHZ-014,03-authorization-identity.md,done,Backend,docs/evidence/WP03-M-policy-invalidation.md,Central transaction-neutral policy revision helper emits invalidation events and is used by ACL and membership changes
AUTHZ-015,03-authorization-identity.md,done,Backend/Security,docs/evidence/WP03-M-effective-access-explanation.md,Protected administrator effective-access endpoint returns only the matched rule and safe decision ancestry
AUTHZ-016,03-authorization-identity.md,done,QA/Backend,docs/evidence/WP03-M-authorization-regression-matrix.md,Regression matrix covers same-query user isolation inheritance and expiry fail-closed behavior
STORE-001,04-ingestion-storage-deletion.md,done,Backend,docs/evidence/WP06-D-object-store-contract.md,Provider-neutral ObjectStore interface and local filesystem adapter satisfy stage/promote/open/stat/verify/quarantine/tombstone contract tests; encrypted shared-service adapter remains deployment work
STORE-002,04-ingestion-storage-deletion.md,done,Backend,docs/evidence/WP06-D-object-store-contract.md,Immutable checksum-addressed keys and idempotent atomic promotion are covered by contract tests
UPLOAD-001,04-ingestion-storage-deletion.md,in_progress,Backend,docs/evidence/WP06-E-upload-preflight-and-common-ingestion.md,Shared ingestion stages bytes through bounded quarantine; true request-stream plumbing remains open because the route still materializes UploadFile bytes
UPLOAD-002,04-ingestion-storage-deletion.md,done,Backend/Security,docs/evidence/WP06-E-upload-preflight-and-common-ingestion.md,Filename normalization declared-type/signature matching encrypted archive rejection and safe extension policy are enforced before storage
UPLOAD-003,04-ingestion-storage-deletion.md,done,Backend/Security,docs/evidence/WP06-E-upload-preflight-and-common-ingestion.md,Malware hook EICAR regression and bounded archive page pixel extraction and text budgets are enforced
UPLOAD-004,04-ingestion-storage-deletion.md,in_progress,Backend,docs/evidence/WP06-E-upload-preflight-and-common-ingestion.md,Folder imports converge on ingest validation/storage but still materialize bytes; streaming quarantine remains open under INGEST-001/002
JOB-001,04-ingestion-storage-deletion.md,done,docs/evidence/WP06-A-job-outbox-repositories.md,SQLite transaction-neutral create/get/list repositories with idempotency and bounded payload/state validation; PostgreSQL explicitly unsupported pending profile
JOB-002,04-ingestion-storage-deletion.md,done,docs/evidence/WP06-B-job-lease-retry.md,SQLite transaction-neutral claim/lease/heartbeat/retry/dead-letter with owner checks and bounded exponential retry; PostgreSQL/worker orchestration remain JOB-003
JOB-003,04-ingestion-storage-deletion.md,in_progress,Backend,docs/evidence/WP06-F-durable-ingestion-workers.md,SQLite single-worker startup and repository claim strategy are implemented; PostgreSQL execution remains gated by D-02 approval and live-profile verification
INGEST-001,04-ingestion-storage-deletion.md,done,Backend,docs/evidence/WP06-F-durable-ingestion-workers.md,Dedicated worker executes durable EXTRACT and INDEX stages with commit boundaries and bounded failure persistence
INGEST-002,04-ingestion-storage-deletion.md,done,Backend,docs/evidence/WP06-F-durable-ingestion-workers.md,HTTP ingestion persists object/document/job only; extraction and indexing run in app.worker
INGEST-003,04-ingestion-storage-deletion.md,done,Backend,docs/evidence/WP06-F-durable-ingestion-workers.md,Migration 20260727_0007 and worker/output metadata persist bounded pipeline versions
INGEST-004,04-ingestion-storage-deletion.md,done,Backend,docs/evidence/WP06-H-ingestion-controls-and-language-fixtures.md,Authorized status GET plus retry/cancel controls expose bounded stage results and terminal states; admin reprocessing remains available
INGEST-005,04-ingestion-storage-deletion.md,done,Backend,docs/evidence/WP06-H-ingestion-controls-and-language-fixtures.md,READY requires all mandatory EXTRACT/CLASSIFY/DEDUPLICATE/CHUNK/INDEX results completed without degraded stages
EXTRACT-001,04-ingestion-storage-deletion.md,done,Backend,docs/evidence/WP06-H-ingestion-controls-and-language-fixtures.md,Worker persists extractor/OCR provenance, measured quality signals, completion time, and routes degraded output to REVIEW
EXTRACT-002,04-ingestion-storage-deletion.md,done,Backend/QA,docs/evidence/WP06-H-ingestion-controls-and-language-fixtures.md,English Hindi and mixed Devanagari/Latin fixtures verify language detection and quality signals
DEDUP-001,04-ingestion-storage-deletion.md,done,Backend,docs/evidence/WP06-I-dedup-delete-audit-coupling.md,Checksum-addressed immutable objects are reused safely and cleanup checks active references before tombstoning
DELETE-001,04-ingestion-storage-deletion.md,done,Backend,docs/evidence/WP06-I-dedup-delete-audit-coupling.md,Authorized deletion creates a lifecycle tombstone and idempotent storage-cleanup outbox event; reads exclude tombstoned documents
DELETE-002,04-ingestion-storage-deletion.md,done,Backend/Compliance,docs/evidence/WP06-I-dedup-delete-audit-coupling.md,Retention expiry and legal holds block deletion before any mutation; cleanup remains outbox-driven
AUDIT-001,05-audit-recovery-dr.md,done,Backend,docs/evidence/WP06-I-dedup-delete-audit-coupling.md,Upload/import/delete/duplicate-resolution mutation audits are staged and flushed in the same transaction as their mutations
AUDIT-002,05-audit-recovery-dr.md,done,Backend,docs/evidence/WP07-A-audit-transaction-coupling.md,audit_service.record now flushes in caller transaction without independent commit/rollback; injected storage failure and rollback coupling tested
AUDIT-003,05-audit-recovery-dr.md,done,Backend/Platform,docs/evidence/WP07-B-audit-append-only.md,SQLite migration 20260727_0009 installs aborting UPDATE/DELETE triggers; append-only regression tests pass; PostgreSQL role/privilege deployment remains a platform follow-up
AUDIT-004,05-audit-recovery-dr.md,blocked,Security + Compliance,docs/evidence/WP07-A-audit-export-integrity-gate.md,AUDIT-003 and the D-07 retention/export/WORM policy selection are missing; no unapproved export or retention contract implemented
RECON-001,05-audit-recovery-dr.md,done,Backend,docs/evidence/WP07-C-reconciliation-report.md,Bounded read-only DB/object/FTS reconciliation classifies drift; provider-specific adapters now plug into the RETR-006 contract
RECON-002,05-audit-recovery-dr.md,in_progress,Backend,docs/evidence/WP07-C-reconciliation-monitoring.md,Read-only bounded metrics endpoint reports drift findings and stale/failed ingestion jobs; authoritative finding producer remains gated by RECON-001
REPAIR-001,05-audit-recovery-dr.md,in_progress,Backend,docs/evidence/WP07-D-reviewed-repair-plan.md,Fail-closed explicit-target dry-run planner with backup ID, actor, traversal checks, hashes, and optional audit log; completion awaits BASE-002 backup evidence and witnessed executor drill
GC-001,05-audit-recovery-dr.md,done,Backend,docs/evidence/WP07-E-gc-candidates.md,"Bounded dry-run candidate report excludes active references, ignores symlinks, and never mutates storage or database"
BACKUP-001,05-audit-recovery-dr.md,done,Platform/Backend,docs/evidence/WP07-F-coordinated-backup-manifest.md,Versioned SQLite/object/OKF/config backup manifest with SHA-256 and source-quiescence checks; local tests pass, off-host durability and witnessed restore remain operational follow-up
RESTORE-001,05-audit-recovery-dr.md,in_progress,Platform/Backend,docs/evidence/WP07-E-restore-verification-gate.md,Restore records migration head, optionally upgrades isolated target, rebuilds FTS5, and runs read-only reconciliation; witnessed zero-drift/RPO-RTO evidence remains open
DR-001,05-audit-recovery-dr.md,in_progress,Platform/Backend,docs/evidence/WP07-E-restore-verification-gate.md,Isolated rehearsal records restore timing and backup age across loss scenarios; witnessed production failover, PostgreSQL/PITR, and approved RPO/RTO evidence remain open
RETR-001,06-text-retrieval-lancedb.md,done,Backend,docs/evidence/WP06-A-retrieval-store-contract.md,Backend-owned RetrievalStore protocol and typed contract are defined; only the SQLite adapter is enabled and broader adapter semantics remain open
RETR-002,06-text-retrieval-lancedb.md,done,Backend,docs/evidence/WP06-A-retrieval-store-contract.md,Existing SQLite FTS5 search/upsert/delete behavior delegates through Fts5RetrievalStore with direct SQL ranking/snippet regression coverage; LanceDB remains open
RETR-003,06-text-retrieval-lancedb.md,done,Backend,docs/evidence/WP06-B-qdrant-retrieval-adapter.md,Optional QdrantRetrievalStore wraps prepared dense/sparse behavior with exact authorization filtering and deterministic RRF; no provider is contacted in local tests and no HA/LanceDB claim is made
CHUNK-001,06-text-retrieval-lancedb.md,done,Backend,docs/evidence/WP06-G-deterministic-chunking.md,Deterministic Docling-aware adapter preserves heading/page/table lineage, bounded overlap, and stable versioned chunk IDs; focused fixtures pass
CHUNK-002,06-text-retrieval-lancedb.md,in_progress,Backend,docs/evidence/WP06-E-bounded-chunk-lineage.md,"Bounded deterministic chunks, multilingual/table fixtures, and source citation lineage are covered; integration remains gated by CHUNK-001/LANCE-001"
LANCE-001,06-text-retrieval-lancedb.md,in_progress,Backend,docs/evidence/WP06-E-lancedb-adapter-gate.md,Schema provisioning plus FTS/scalar indexes batch upsert/delete authorized FTS search and reconciliation are implemented; vector-index acceptance remains open
LANCE-002,06-text-retrieval-lancedb.md,done,Backend,docs/evidence/WP06-I-lancedb-shadow-cutover.md,Read-only readers refresh before observation while one configured writer and maintenance path share a fail-closed cross-process lock; second-process visibility passes
LANCE-003,06-text-retrieval-lancedb.md,blocked,LANCE-001/LANCE-002,docs/evidence/WP06-E-lancedb-adapter-gate.md,Not executable until the LanceDB schema/index and single-writer maintenance dependencies are accepted
RETR-004,06-text-retrieval-lancedb.md,done,Backend,docs/evidence/WP06-C-retrieval-authorization-contract.md,Exact authorization prefilter and final local recheck are covered for FTS5 and optional Qdrant plus search hydration and RAG citations; LanceDB and durable invalidation remain open
RETR-005,06-text-retrieval-lancedb.md,blocked,D-08 gate,docs/evidence/WP05-N-materialized-access-projection-gate.md,No named D-08 corpus/query/concurrency/hardware benchmark exists; exact SQL authorized-ID filtering remains fail-closed baseline
RETR-006,06-text-retrieval-lancedb.md,done,Backend,docs/evidence/WP06-F-retrieval-reconciliation-contract.md,Read-only reconciliation now consumes the RetrievalStore contract and reports adapter coverage/missing/stale/version-lag state
RETR-007,06-text-retrieval-lancedb.md,done,Backend,docs/evidence/WP06-D-qdrant-circuit-recovery.md,Optional Qdrant failures use bounded lazy cooldown/backoff with capped state and recoverable probes; safe health status and fake-client recovery tests pass
BACKFILL-001,06-text-retrieval-lancedb.md,blocked,LANCE-001,docs/evidence/WP06-E-lancedb-adapter-gate.md,Resumable backfill is held until the accepted LanceDB schema/chunk/index writer path exists
SHADOW-001,06-text-retrieval-lancedb.md,done,Backend/QA,docs/evidence/WP06-I-lancedb-shadow-cutover.md,Shadow mode discards LanceDB results and exposes bounded coverage latency failure and overlap aggregates without query or document content
CUTOVER-001,06-text-retrieval-lancedb.md,done,Backend,docs/evidence/WP06-I-lancedb-shadow-cutover.md,Explicit current lancedb_shadow and lancedb_primary read modes switch serving without retrieval writes or re-ingestion
CUTOVER-002,06-text-retrieval-lancedb.md,done,Backend/Platform,docs/evidence/WP06-I-lancedb-shadow-cutover.md,Rollback drill switches LanceDB primary back to the unchanged current adapter result with zero writes and no source-data mutation
RETIRE-001,06-text-retrieval-lancedb.md,done,Backend + Platform,docs/evidence/WP08-E-retire-eval-docapi.md,Base local Compose uses FTS5 without Qdrant; explicit development override retains optional Qdrant
RAG-001,07-rag-safety-quality.md,done,Backend,docs/evidence/WP09-A-explicit-provider-routing.md,Exact provider routing is startup enforced in every runtime with no availability probes or cross-provider fallback
RAG-002,07-rag-safety-quality.md,done,Backend + Security,docs/evidence/WP09-C-prompt-injection-boundary.md,Retrieved and OKF content remains untrusted quoted evidence under fixed system controls with adversarial regression coverage
RAG-003,07-rag-safety-quality.md,done,Backend,docs/evidence/WP09-D-authorized-context-manifest.md,Context manifest accepts only final-authorized RetrievalStore chunk IDs and matching authoritative lineage; legacy document-level hits are omitted
RAG-004,07-rag-safety-quality.md,done,Backend,docs/evidence/WP09-E-citation-manifest-validation.md,Citations are retained only when index document chunk and optional page lineage match the authorized context manifest; forged references are omitted
RAG-005,07-rag-safety-quality.md,done,Backend + Security,backend-plan/evidence/WP09-E-explicit-rag-abstention.md,No-evidence and weak-evidence requests return stable abstention modes/messages without provider generation or raw question echo
RAG-006,07-rag-safety-quality.md,done,Backend + Platform,docs/evidence/WP09-B-provider-resource-bounds.md,No-queue per-process admission total web deadline phase timeouts token cap and UTF-8 context byte cap are enforced
RAG-007,07-rag-safety-quality.md,done,Backend + Security,backend-plan/evidence/WP09-D-query-telemetry-redaction.md,Search and RAG audit telemetry stores only bounded query length and keyed HMAC digest; raw protected content is excluded
EVAL-001,07-rag-safety-quality.md,in_progress,Backend + QA,docs/evidence/WP08-E-retire-eval-docapi.md,Versioned five-case labeled smoke fixture exists; required 600-case adjudicated corpus and reviewer evidence remain open
EVAL-002,07-rag-safety-quality.md,done,Backend + QA,docs/evidence/WP08-E-retire-eval-docapi.md,CI evaluator gates Recall/nDCG/citation/groundedness and zero unauthorized evidence on the labeled contract fixture
MM-001,13-multimodal-work-package.md,in_progress,Product + Security + Backend,docs/adr/0003-visual-query-scope.md,Conservative visual query/result matrix and non-goals proposed; final lock awaits D-08 profile and approval
MM-002,13-multimodal-work-package.md,in_progress,Data owner/Platform,docs/evidence/WP13-A-visual-capacity-profile.md,Read-only 44-document visual baseline recorded; visual query mix daily change GPU/VRAM concurrency and approved D-08 profile remain unavailable
MM-003,13-multimodal-work-package.md,in_progress,Backend + Security,docs/evidence/WP13-C-query-image-privacy-policy.md,Ephemeral retention zero-egress default bounded metadata and content-free audit hooks added; D-05/security approval remains
MM-004,13-multimodal-work-package.md,in_progress,Backend + QA + Security,backend-plan/decisions/MM-004-visual-model-bakeoff-gates.md,Gate policy and scorecard defined; model download/approval awaits MM-001–003 and D-08 capacity evidence
MM-005,13-multimodal-work-package.md,done,Backend,docs/evidence/WP13-D-visual-asset-lineage-migrations.md,Visual asset lineage processing-state and retrieval-manifest schema upgrades/downgrades pass empty/current/rollback tests
MM-006,13-multimodal-work-package.md,done,Backend,docs/evidence/WP13-A-visual-assets-and-stages.md,Deterministic visual identity, checksum/perceptual-hash signals, lineage registration, and tombstone-only lifecycle rules are covered by focused tests
MM-007,13-multimodal-work-package.md,done,Backend,docs/evidence/WP13-A-visual-assets-and-stages.md,Bounded MIME/decode/dimension/pixel validation rejects malformed or over-budget visual payloads
MM-008,13-multimodal-work-package.md,in_progress,Backend,docs/evidence/WP13-A-visual-assets-and-stages.md,Durable visual manifest claiming and failure metadata are implemented; isolated renderer/OCR worker execution and production resource enforcement remain open
MM-009,13-multimodal-work-package.md,in_progress,Backend,docs/evidence/WP13-E-safe-visual-derivatives.md,Orientation/color normalization strips metadata and rejects trailing polyglot payloads; final production use remains gated by MM-008 isolated decode/resource enforcement
MM-010,13-multimodal-work-package.md,in_progress,Backend + Security,docs/evidence/WP13-J-pinned-page-rendering.md,Pinned PyMuPDF RGB renderer with bounded DPI/page count and deterministic checksums; isolated resource enforcement remains gated by MM-008
MM-011,13-multimodal-work-package.md,in_progress,Backend,backend-plan/evidence/WP13-B-embedded-region-lineage.md,Fail-closed lineage contract and degradation tests added; renderer extraction gated by MM-008/MM-010
MM-012,13-multimodal-work-package.md,done,Backend,docs/evidence/WP13-K-visual-retrieval-contracts.md,Versioned OCR/caption/description outputs persist engine revision confidence quality signals and trusted=false by default
MM-013,13-multimodal-work-package.md,done,Backend,docs/evidence/WP13-K-visual-retrieval-contracts.md,Visual output provenance and bounded quality signals are persisted with asset/version lineage
MM-014,13-multimodal-work-package.md,in_progress,Backend + QA,docs/evidence/WP13-K-visual-retrieval-contracts.md,Typed degradation and language contract coverage is added; full OCR/render fixture corpus remains open
MM-015,13-multimodal-work-package.md,done,Backend,docs/evidence/WP13-K-visual-retrieval-contracts.md,Typed visual lane records and authorization-first text/page/image/hybrid routing are covered
MM-016,13-multimodal-work-package.md,in_progress,Backend + QA,docs/evidence/WP13-K-visual-retrieval-contracts.md,Pinned deterministic page/image embedding contract is implemented; approved semantic model remains gated by MM-004
MM-017,13-multimodal-work-package.md,in_progress,Backend + QA,docs/evidence/WP13-K-visual-retrieval-contracts.md,Page multi-vector contract is represented in visual_pages schema; live ANN quality evidence remains open
MM-018,13-multimodal-work-package.md,done,Backend,docs/evidence/WP13-K-visual-retrieval-contracts.md,Separate visual_pages and image_assets LanceDB schema/index provisioning contract is implemented
MM-019,13-multimodal-work-package.md,in_progress,Backend + QA,docs/evidence/WP13-K-visual-retrieval-contracts.md,Deterministic rank-based fusion is implemented; sampled ANN recall/latency benchmark remains open
MM-020,13-multimodal-work-package.md,done,Backend,docs/evidence/WP13-F-visual-query-security.md,Typed visual modes route through explicit page/image/text lanes with bounded candidate budgets and deterministic fallback
MM-021,13-multimodal-work-package.md,done,Backend,docs/evidence/WP13-F-visual-query-security.md,Rank-only reciprocal-rank fusion deduplicates asset and verified lineage identities without combining incompatible raw scores
MM-022,13-multimodal-work-package.md,done,Backend/QA,docs/evidence/WP13-F-visual-query-security.md,Local reranker callback is disabled by default and feature-flagged with failure-preserving order
MM-023,13-multimodal-work-package.md,done,Backend,docs/evidence/WP13-F-visual-query-security.md,Every visual lane receives exact authorized document IDs and candidates are filtered again before fusion
MM-024,13-multimodal-work-package.md,in_progress,Backend/Platform,docs/evidence/WP13-F-visual-query-security.md,Versioned user/policy projections fail closed on mismatch; durable large-ID benchmark remains gated by RETR-005/D-08
